region_id,iso_country,region_name,lat,lon,avg_download_mbps,avg_upload_mbps,avg_latency_ms,network_type,dominant_land_cover,climate_need_score,inequality_score,priority_score,recommended_microjob_category,source_connectivity_dataset,source_landcover_dataset
1,AL,"Rural mountainous area, Northern Albania",41.9,20.0,12.5,4.2,65,mobile,cropland,0.78,0.72,0.76,water_harvesting,Speedtest by Ookla Global Fixed and Mobile Network Performance Maps,10m Annual Land Use Land Cover (9-class)
2,AL,"Coastal peri-urban belt, Central Albania",41.3,19.6,27.0,9.5,48,fixed,urban,0.62,0.55,0.6,solar_maintenance,Speedtest by Ookla Global Fixed and Mobile Network Performance Maps,10m Annual Land Use Land Cover (9-class)
3,IT,"Po Valley peri-urban area, Northern Italy",45.1,9.2,45.0,18.0,35,fixed,cropland,0.68,0.3,0.53,tree_planting,Speedtest by Ookla Global Fixed and Mobile Network Performance Maps,10m Annual Land Use Land Cover (9-class)
4,ES,"Semi-arid rural interior, Southern Spain",37.5,-4.6,20.0,7.5,55,mobile,shrubland,0.82,0.55,0.71,water_harvesting,Speedtest by Ookla Global Fixed and Mobile Network Performance Maps,10m Annual Land Use Land Cover (9-class)
5,RO,"Rural agricultural plain, Eastern Romania",45.0,27.0,16.0,5.0,60,mobile,cropland,0.74,0.69,0.72,agroforestry,Speedtest by Ookla Global Fixed and Mobile Network Performance Maps,10m Annual Land Use Land Cover (9-class)
6,GR,"Island community, Aegean Sea",37.0,25.0,18.5,6.0,70,mobile,bare,0.8,0.63,0.74,solar_maintenance,Speedtest by Ookla Global Fixed and Mobile Network Performance Maps,10m Annual Land Use Land Cover (9-class)
7,DE,"Low-income urban district, Western Germany",51.5,7.5,80.0,30.0,25,fixed,urban,0.45,0.4,0.43,home_insulation,Speedtest by Ookla Global Fixed and Mobile Network Performance Maps,10m Annual Land Use Land Cover (9-class)
8,HR,"Coastal town, Adriatic coast, Croatia",43.7,15.3,35.0,12.0,40,fixed,urban,0.6,0.35,0.51,solar_maintenance,Speedtest by Ookla Global Fixed and Mobile Network Performance Maps,10m Annual Land Use Land Cover (9-class)
9,RS,"Rural valley, Southern Serbia",43.2,21.0,10.0,3.5,75,mobile,cropland,0.77,0.75,0.76,tree_planting,Speedtest by Ookla Global Fixed and Mobile Network Performance Maps,10m Annual Land Use Land Cover (9-class)
10,PT,"Semi-arid inland plateau, Portugal",39.7,-7.4,22.0,6.8,52,mobile,shrubland,0.79,0.5,0.68,water_harvesting,Speedtest by Ookla Global Fixed and Mobile Network Performance Maps,10m Annual Land Use Land Cover (9-class)
